image;size;selected
05_01_01-1.bmp;643x106;1
05_01_01-2.bmp;77x76;1
05_01_01-4.bmp;150x170;1
05_01_01-6.bmp;154x200;1
05_01_01-8.bmp;81x79;1
05_01_01-10.bmp;254x162;1
05_01_01-13.bmp;165x162;1
05_01_01-17.bmp;132x100;1
05_01_01-18.bmp;167x190;1
05_01_01-19.bmp;100x140;1
05_01_01-20.bmp;114x130;1
05_01_01-21.bmp;126x90;1
05_01_01-22.bmp;116x187;1
05_01_01-23.bmp;167x138;1
05_01_01-24.bmp;232x170;1
05_01_01-25.bmp;178x249;1
05_01_01-26.bmp;122x151;1
05_01_01-27.bmp;77x85;1
05_01_01-28.bmp;352x130;1
05_01_01-29.bmp;84x84;1
05_01_01-30.bmp;160x180;1
05_01_01-31.bmp;106x78;1
05_01_01-32.bmp;97x71;1
05_01_01-33.bmp;92x84;1
05_01_01-34.bmp;166x168;1
05_01_01-35.bmp;102x85;1
05_01_01-36.bmp;103x92;1
05_01_01-37.bmp;101x109;1
05_01_01-38.bmp;140x119;1
05_01_01-39.bmp;94x75;1
05_01_01-40.bmp;73x90;1
05_01_01-42.bmp;138x136;1
05_01_01-43.bmp;151x120;1
05_01_01-44.bmp;274x188;1
05_01_01-46.bmp;172x117;1
05_01_01-47.bmp;97x90;1
05_01_01-48.bmp;57x55;1
