image;size;selected
05_13_02-1.bmp;128x67;1
05_13_02-2.bmp;90x79;1
05_13_02-8.bmp;80x73;1
05_13_02-17.bmp;99x92;1
05_13_02-18.bmp;207x215;1
05_13_02-19.bmp;144x122;1
05_13_02-20.bmp;81x94;1
05_13_02-21.bmp;164x158;1
05_13_02-22.bmp;125x172;1
05_13_02-23.bmp;63x60;1
05_13_02-24.bmp;100x111;1
05_13_02-25.bmp;97x90;1
05_13_02-26.bmp;53x68;1
05_13_02-27.bmp;91x111;1
05_13_02-28.bmp;35x36;1
05_13_02-29.bmp;94x112;1
05_13_02-30.bmp;69x107;1
05_13_02-31.bmp;90x81;1
05_13_02-32.bmp;112x156;1
05_13_02-33.bmp;86x90;1
05_13_02-34.bmp;124x144;1
05_13_02-35.bmp;68x63;1
05_13_02-36.bmp;70x90;1
05_13_02-37.bmp;118x121;1
05_13_02-38.bmp;103x106;1
05_13_02-39.bmp;119x137;1
05_13_02-40.bmp;107x107;1
05_13_02-42.bmp;129x121;1
05_13_02-43.bmp;179x161;1
05_13_02-44.bmp;99x94;1
05_13_02-45.bmp;81x84;1
05_13_02-47.bmp;121x137;1
05_13_02-48.bmp;110x103;1
05_13_02-49.bmp;125x95;1
05_13_02-50.bmp;198x176;1
