image;size;selected
05_13_01-1.bmp;397x117;1
05_13_01-6.bmp;133x220;1
05_13_01-8.bmp;303x210;1
05_13_01-17.bmp;300x288;1
05_13_01-18.bmp;67x218;1
05_13_01-19.bmp;204x168;1
05_13_01-20.bmp;174x164;1
05_13_01-21.bmp;108x256;1
05_13_01-22.bmp;42x147;1
05_13_01-23.bmp;46x123;1
05_13_01-24.bmp;105x113;1
05_13_01-25.bmp;83x154;1
05_13_01-26.bmp;98x116;1
05_13_01-27.bmp;262x186;1
05_13_01-28.bmp;70x140;1
05_13_01-29.bmp;84x171;1
05_13_01-30.bmp;47x139;1
05_13_01-31.bmp;41x128;1
05_13_01-32.bmp;90x165;1
05_13_01-33.bmp;70x134;1
05_13_01-34.bmp;142x60;1
05_13_01-35.bmp;58x163;1
05_13_01-36.bmp;55x151;1
05_13_01-37.bmp;179x160;1
05_13_01-38.bmp;90x171;1
05_13_01-39.bmp;37x129;1
05_13_01-40.bmp;84x192;1
05_13_01-42.bmp;200x154;1
05_13_01-43.bmp;263x92;1
05_13_01-44.bmp;187x75;1
05_13_01-45.bmp;105x94;1
05_13_01-46.bmp;53x126;1
05_13_01-47.bmp;142x112;1
05_13_01-48.bmp;34x121;1
05_13_01-50.bmp;221x58;1
