id,titre,glyphes,personnages,elements
1,XOLOTL,2367,48,5244
2,AMECAMECA,48,4,118
3,HUITZILOPOCHCO,6,0,13
4,TLAXINICAN-TLAYLOTL,47,0,63
5,CHALCO_BARRIOS,28,0,57
6,TLACOTEPEC,138,39,353
7,HUEXOCOLCO,22,6,70
8,ASUNCIóN,1135,0,2901
9,TL.TENOCHCA,11,13,25
10,CALPAN,205,141,632
11,IXTACMAXTITLAN,13,34,178
12,XALBORNOZ,26,5,44
13,TRIBUTOS DE TLAXINIC,49,35,123
14,TOTOQUIHUAZTLI,51,0,73
15,HUAMUX,9,15,51
16,APERREAMIENTO,12,13,109
17,VALERIANO,933,0,1000
18,TELLERIANO,1092,0,2576
19,MH: HUEXOTZINCO,748,676,2134
20,MH: XALTEPETLAPAN,831,725,2270
21,MH: ALMOYAHUACAN,616,578,1918
22,MH: OCOTEPEC,400,337,1074
23,MH: TLAYACAC,212,178,548
24,MH: TIANQUIZTENCO,298,294,906
25,MH: TEPETZINCO,396,385,1182
26,MH: TLATENCO,181,152,473
27,MH: COYOTZINCO,885,1140,3054
28,MH: CECALACOHUAYAN,440,428,1363
29,MH: CHIYAUHTZINCO,486,426,1348
30,MH: TOCUILLAN,431,381,1299
31,MH: ACXOTLAN,650,619,1840
32,MH: ATZOMPAN,352,333,1079
33,MH: TLANICONTLAN,397,438,1255
34,MH: ATENCO,1113,1079,3374
35,MH: TETZMOLLOCAN,1696,1657,5267
36,MH: TEOTLALTZINCO,564,732,2089
37,MH: AZTAHUAYAN,1172,1134,3620
38,MH: CUAUHQUECHOLLAN,977,995,3415
39,MH: ATLIXCO,254,211,769
40,MH: TIANQUIZMANALCO,117,103,371
41,MH: ACAPETLAHUACAN,3,59,120
42,20 MAZORCAS,99,42,142
43,MATRICULA DE TRIBUTO,640,15,2044
44,CUAUHTINCHAN 2,608,210,2430
45,MATRITENSES,366,0,898
46,METLALTOYUCA,88,79,412
47,TEPECHPAN,431,146,2072
48,TEPETLAOZTOC,1696,83,6856
49,TEPEUCILA,47,0,179
50,TOTOMIXTLAHUACAN,200,101,696
