codex_id,glyph_cote,glyph_id,glyph_lecture,glyph_image,elements,element_ids
1,X.010.A.01,1.0,tenamitec,X.010.A.01-1.jpg,tetl|xocpalmachiyotl,584|747
1,X.010.A.03,2.0,cuauhchinanco,X.010.A.03-1.jpg,petlatl|cuahuitl_1|comitl,472|193|161
1,X.010.A.04,3.0,tototepec altepetl,X.010.A.04-1.jpg,tototl|tepetl|atl,685|570|75
1,X.010.B.01,4.0,zacatlan,X.010.B.01-1.jpg,zacatl|tlanelhuatl,776|624
1,X.010.B.02,5.0,tolteca(tl),X.010.B.02-1.jpg,tolin|tentli,671|562
1,X.010.B.03-,6.0,tamazolac teopan zaca...,X.010.B.03--1.jpg,zacatl|tzacualli|tamazolin|atl|artefact_09,776|690|524|75|69
1,X.010.B.04,7.0,tlachia,X.010.B.04-1.jpg,ixtelolotli,326
1,X.010.B.08,8.0,...tepec,X.010.B.08-1.jpg,acatl|huitztli|tepetl,26|291|570
1,X.010.B.09,9.0,xolotl,X.010.B.09-1.jpg,xolotl,751
1,X.010.B.12,10.0,nopaltzin,X.010.B.12-1.jpg,nopalli,419
1,X.010.B.15,11.0,cuauhyacac,X.010.B.15-1.jpg,cuahuitl_1|tepetl|yacatl,193|570|766
1,X.010.B.16,12.0,tlachia,X.010.B.16-1.jpg,ixtelolotli,326
1,X.010.B.17,13.0,tonan ou cihuatepec altepetl,X.010.B.17-1.jpg,cihuatl|tepetl|atl,145|570|75
1,X.010.B.18,14.0,tlachia,X.010.B.18-1.jpg,ixtelolotli,326
1,X.010.B.19,15.0,oztoticpac,X.010.B.19-1.jpg,pantli|oztotl,453|448
1,X.010.B.20,16.0,tepetla,X.010.B.20-1.jpg,tepetl|montagnes_05,570|390
1,X.010.B.21,17.0,tlachia,X.010.B.21-1.jpg,ixtelolotli,326
1,X.010.B.23,18.0,tepetlaoztoc,X.010.B.23-1.jpg,tetl|oztotl|petlatl,584|448|472
1,X.010.B.25,19.0,tlachia,X.010.B.25-1.jpg,ixtelolotli,326
