id,codexid,cote,element,theme
1,1,X.010.A.01,tetl,04.04.01
2,1,X.010.A.01,xocpalmachiyotl,01.04.03
3,1,X.010.A.03,petlatl,05.02.03
4,1,X.010.A.03,cuahuitl_1,03.01.01
5,1,X.010.A.03,comitl,05.03.01
6,1,X.010.A.04,tototl,02.01.13
7,1,X.010.A.04,tepetl,04.03.08
8,1,X.010.A.04,atl,04.05.01
9,1,X.010.B.01,zacatl,03.02.08
10,1,X.010.B.01,tlanelhuatl,03.04.10
11,1,X.010.B.02,tolin,03.02.02
12,1,X.010.B.02,tentli,01.02.18
13,1,X.010.B.03-,zacatl,03.02.08
14,1,X.010.B.03-,tzacualli,05.01.08
15,1,X.010.B.03-,tamazolin,02.02.18
16,1,X.010.B.03-,atl,04.05.01
17,1,X.010.B.03-,artefact_09,05.01.21
18,1,X.010.B.04,ixtelolotli,01.02.15
19,1,X.010.B.08,acatl,03.02.05
20,1,X.010.B.08,huitztli,03.04.09
21,1,X.010.B.08,tepetl,04.03.08
22,1,X.010.B.09,xolotl,02.02.13
23,1,X.010.B.12,nopalli,03.02.09
24,1,X.010.B.15,cuahuitl_1,03.01.01
25,1,X.010.B.15,tepetl,04.03.08
26,1,X.010.B.15,yacatl,01.02.17
27,1,X.010.B.16,ixtelolotli,01.02.15
28,1,X.010.B.17,cihuatl,01.02.11
29,1,X.010.B.17,tepetl,04.03.08
30,1,X.010.B.17,atl,04.05.01
31,1,X.010.B.18,ixtelolotli,01.02.15
32,1,X.010.B.19,pantli,05.12.46
33,1,X.010.B.19,oztotl,04.03.09
34,1,X.010.B.20,tepetl,04.03.08
35,1,X.010.B.20,montagnes_05,07.01.08
36,1,X.010.B.21,ixtelolotli,01.02.15
37,1,X.010.B.23,tetl,04.04.01
38,1,X.010.B.23,oztotl,04.03.09
39,1,X.010.B.23,petlatl,05.02.03
40,1,X.010.B.25,ixtelolotli,01.02.15
41,1,X.010.B.26,tzinacan,02.01.27
42,1,X.010.B.26,oztotl,04.03.09
43,1,X.010.B.27,ixtelolotli,01.02.15
44,1,X.010.B.28,tecpatl,04.04.08
45,1,X.010.B.28,tepetl,04.03.08
46,1,X.010.B.28,atl,04.05.01
47,1,X.010.B.29-,zacatl,03.02.08
48,1,X.010.B.29-,tzacualli,05.01.08
49,1,X.010.B.29-,tolin,03.02.02
50,1,X.010.B.29-,tentli,01.02.18
51,1,X.010.B.29-,artefact_09,05.01.21
52,1,X.010.B.31,ixtelolotli,01.02.15
53,1,X.010.B.32,oztotl,04.03.09
54,1,X.010.B.32,tepetl,04.03.08
55,1,X.010.B.32,atl,04.05.01
56,1,X.010.C.01,tepetl,04.03.08
57,1,X.010.C.01,atl,04.05.01
58,1,X.010.C.02,xihuitl_4,06.01.04
59,1,X.010.C.02,tepetl,04.03.08
60,1,X.010.C.02,atl,04.05.01
61,1,X.010.C.04,nopalli,03.02.09
62,1,X.010.C.06,tepetl,04.03.08
63,1,X.010.C.06,montagnes_04,07.01.07
64,1,X.010.C.07,montagnes_03,07.01.06
65,1,X.010.C.07,tepetl,04.03.08
66,1,X.010.C.08,tepetl,04.03.08
67,1,X.010.C.08,texcalli,07.01.01
68,1,X.010.C.08,atl,04.05.01
69,1,X.010.C.09,tepetl,04.03.08
70,1,X.010.C.09,montagnes_02,07.01.05
71,1,X.010.C.10,nopalli,03.02.09
72,1,X.010.C.14,oztotl,04.03.09
73,1,X.010.D.01,tepetl,04.03.08
74,1,X.010.D.01,atl,04.05.01
75,1,X.010.D.02,apoctli,04.02.04
76,1,X.010.D.04,ce,06.01.01
77,1,X.010.D.04,acatl,03.02.05
78,1,X.010.D.04,mitl,05.13.01
79,1,X.010.D.04,xiuhtic,08.01.03
80,1,X.010.D.05,cohuatl,02.02.20
81,1,X.010.D.05,quimilli,05.12.13
82,1,X.010.D.06,tlapalli,08.01.04
83,1,X.010.D.06,atl,04.05.01
84,1,X.010.D.10,itztli,04.04.06
85,1,X.010.D.10,caxitl,05.03.05
86,1,X.010.D.11,chocholli,02.02.11
87,1,X.010.D.12,centli,03.04.02
88,1,X.010.D.12,xihuitl_4,06.01.04
89,1,X.010.D.12,macuilli,06.01.02
90,1,X.010.D.12,ce,06.01.01
91,1,X.010.D.12,xiuhtic,08.01.03
92,1,X.010.D.12,ce,06.01.01
93,1,X.010.D.13,oztotl,04.03.09
94,1,X.010.D.13,tetl,04.04.01
95,1,X.010.D.14,nopalli,03.02.09
96,1,X.010.D.16,tetl,04.04.01
97,1,X.010.D.17,oztotl,04.03.09
98,1,X.010.D.17,tlalli,04.03.01
99,1,X.010.D.18,oztotl,04.03.09
100,1,X.010.D.19,ixtelolotli,01.02.15
101,1,X.010.D.21,huexocuahuitl,03.01.04
102,1,X.010.D.21,oztotl,04.03.09
103,1,X.010.D.22,ixtelolotli,01.02.15
104,1,X.010.D.23,nopalli,03.02.09
105,1,X.010.D.25,tepetl,04.03.08
106,1,X.010.D.25,atl,04.05.01
107,1,X.010.D.25,comitl,05.03.01
108,1,X.010.D.27,tepetl,04.03.08
109,1,X.010.D.27,montagnes_06,07.01.09
110,1,X.010.E.01,tepetl,04.03.08
111,1,X.010.E.01,atl,04.05.01
112,1,X.010.E.03,huitztli,03.04.09
113,1,X.010.E.03,itztli,04.04.06
114,1,X.010.E.03,atl,04.05.01
115,1,X.010.E.03,cilli,02.03.02
116,1,X.010.E.03,tliltic,08.01.02
117,1,X.010.E.04,quecholli,02.01.01
118,1,X.010.E.04,tepetl,04.03.08
119,1,X.010.E.04,atl,04.05.01
120,1,X.010.E.06,atl,04.05.01
121,1,X.010.E.06,?_05,09.00.05
122,1,X.010.E.07,cohuatl,02.02.20
123,1,X.010.E.08,tolin,03.02.02
124,1,X.010.E.08,tentli,01.02.18
125,1,X.010.E.10,ce,06.01.01
126,1,X.010.E.10,xiuhtic,08.01.03
127,1,X.010.E.11,macpalli,01.03.07
128,1,X.010.E.11,comitl,05.03.01
129,1,X.010.E.11,tepetl,04.03.08
130,1,X.010.E.11,atl,04.05.01
131,1,X.010.E.14,macuilli,06.01.02
132,1,X.010.E.14,ce,06.01.01
133,1,X.010.E.14,tecpatl,04.04.08
134,1,X.010.E.14,xiuhtic,08.01.03
135,1,X.010.E.15,nacaztli,01.02.13
