id,codexid,cote,lecture,element
1,1,X.010.A.01,tenamitec," tetl, xocpalmachiyotl,"
2,1,X.010.A.03,cuauhchinanco," petlatl, cuahuitl_1, comitl,"
3,1,X.010.A.04,tototepec altepetl," tototl, tepetl, atl,"
4,1,X.010.B.01,zacatlan," zacatl, tlanelhuatl,"
5,1,X.010.B.02,tolteca(tl)," tolin, tentli,"
6,1,X.010.B.03-,tamazolac teopan zaca...," zacatl, tzacualli, tamazolin, atl, artefact_09,"
7,1,X.010.B.04,tlachia," ixtelolotli,"
8,1,X.010.B.08,...tepec," acatl, huitztli, tepetl,"
9,1,X.010.B.09,xolotl," xolotl,"
10,1,X.010.B.12,nopaltzin," nopalli,"
11,1,X.010.B.15,cuauhyacac," cuahuitl_1, tepetl, yacatl,"
12,1,X.010.B.16,tlachia," ixtelolotli,"
13,1,X.010.B.17,tonan ou cihuatepec altepetl," cihuatl, tepetl, atl,"
14,1,X.010.B.18,tlachia," ixtelolotli,"
15,1,X.010.B.19,oztoticpac," pantli, oztotl,"
16,1,X.010.B.20,tepetla," tepetl, montagnes_05,"
17,1,X.010.B.21,tlachia," ixtelolotli,"
18,1,X.010.B.23,tepetlaoztoc," tetl, oztotl, petlatl,"
19,1,X.010.B.25,tlachia," ixtelolotli,"
20,1,X.010.B.26,tzinacanoztoc," tzinacan, oztotl,"
21,1,X.010.B.27,tlachia," ixtelolotli,"
22,1,X.010.B.28,tecpatepec altepetl," tecpatl, tepetl, atl,"
23,1,X.010.B.29-,toltecateopan zaca...," zacatl, tzacualli, tolin, tentli, artefact_09,"
24,1,X.010.B.31,tlachia," ixtelolotli,"
25,1,X.010.B.32,oztotepec altepetl," oztotl, tepetl, atl,"
26,1,X.010.C.01,? altepetl," tepetl, atl,"
27,1,X.010.C.02,xiuhtepec altepetl," xihuitl_4, tepetl, atl,"
28,1,X.010.C.04,nopaltzin," nopalli,"
29,1,X.010.C.06,tepetla patlachiuhcan," tepetl, montagnes_04,"
30,1,X.010.C.07,tepetla," montagnes_03, tepetl,"
31,1,X.010.C.08,texcotl altepetl," tepetl, texcalli, atl,"
32,1,X.010.C.09,tepetla cuauhyacac," tepetl, montagnes_02,"
33,1,X.010.C.10,nopaltzin," nopalli,"
34,1,X.010.C.14,ozto...," oztotl,"
35,1,X.010.D.01,? altepetl," tepetl, atl,"
36,1,X.010.D.02,," apoctli,"
37,1,X.010.D.04,ce acatl xihuitl," ce, acatl, mitl, xiuhtic,"
38,1,X.010.D.05,cohua...," cohuatl, quimilli,"
39,1,X.010.D.06,ezcolotli," tlapalli, atl,"
40,1,X.010.D.10,itzcax," itztli, caxitl,"
41,1,X.010.D.11,cholollan," chocholli,"
42,1,X.010.D.12,eipohualli caxtolli ei xihuitl," centli, xihuitl_4, macuilli, ce, xiuhtic, ce,"
43,1,X.010.D.13,oztotlitic," oztotl, tetl,"
44,1,X.010.D.14,nopaltzin," nopalli,"
45,1,X.010.D.16,tetetla," tetl,"
46,1,X.010.D.17,tlallanoztoc," oztotl, tlalli,"
47,1,X.010.D.18,ozto...," oztotl,"
48,1,X.010.D.19,tlachia," ixtelolotli,"
49,1,X.010.D.21,huexotla oztoc," huexocuahuitl, oztotl,"
50,1,X.010.D.22,tlachia," ixtelolotli,"
51,1,X.010.D.23,nopaltzin," nopalli,"
52,1,X.010.D.25,tlecoc altepetl," tepetl, atl, comitl,"
53,1,X.010.D.27,tepetla," tepetl, montagnes_06,"
54,1,X.010.E.01,? altepetl," tepetl, atl,"
55,1,X.010.E.03,pixahua," huitztli, itztli, atl, cilli, tliltic,"
56,1,X.010.E.04,quechollan altepetl," quecholli, tepetl, atl,"
57,1,X.010.E.06,acxopal," atl, ?_05,"
58,1,X.010.E.07,cohuatzin," cohuatl,"
59,1,X.010.E.08,tolteca(tl)," tolin, tentli,"
60,1,X.010.E.10,nahui xihuitl," ce, xiuhtic,"
61,1,X.010.E.11,tepexocmaco altepetl," macpalli, comitl, tepetl, atl,"
62,1,X.010.E.14,matlactli ei tecpatl xihuitl," macuilli, ce, tecpatl, xiuhtic,"
63,1,X.010.E.15,nacazxoc," nacaztli, atl,"
64,1,X.010.E.16,tolteca(tl)," tolin, tentli,"
65,1,X.010.E.18-,nahui xihuitl," ce, xiuhtic,"
66,1,X.010.E.20,? altepetl," atl, tepetl, atl,"
67,1,X.010.E.21,tototepec altepetl," tototl, tepetl, atl,"
68,1,X.010.E.22-,...tlatoa," tlatoa, effacé,"
69,1,X.010.F.01,tlachia," ixtelolotli,"
70,1,X.010.F.02,tepeapolco altepetl," apoctli, tepetl, atl,"
71,1,X.010.F.03,tlachia," ixtelolotli,"
72,1,X.010.F.04,cempohuallan altepetl," centli, tepetl, atl,"
73,1,X.010.F.05-,teotihuacan," tzacualli,"
74,1,X.010.F.07,ozto...," oztotl,"
75,1,X.010.F.08,tlachia," ixtelolotli,"
76,1,X.010.F.09,xolotl," xolotl,"
77,1,X.010.F.11,nopaltzin," nopalli,"
78,1,X.010.F.13,mizquiyahuallan," mizquicuahuitl, yahualiuhqui,"
79,1,X.010.F.14,atocpan," atl, tlalli, pantli,"
80,1,X.010.F.15-,xoloc altepetl," xolotl, tepetl, atl,"
81,1,X.010.F.17,macuilli tecpatl xihuitl," ce, tecpatl, xiuhtic,"
82,1,X.010.F.18,tlachia," ixtelolotli,"
83,1,X.010.F.19,tollan," tolin,"
84,1,X.010.F.20,tlachia," ixtelolotli,"
85,1,X.010.F.21-,zaca...," tzacualli, zacatl, artefact_09,"
86,1,X.010.F.24,macuilli xihuitl," ce, xihuitl_4,"
87,1,X.010.F.25,maxalihui," xocpalmachiyotl,"
88,1,X.010.F.26,tolteca(tl)," tolin, tentli,"
89,1,X.010.F.27,tepenenec altepetl," nenetl, tepetl, atl,"
90,1,X.010.F.28,? altepetl," effacé, tepetl, effacé,"
91,1,X.010.F.29,itzcuintecua," itzcuintli, tentli,"
92,1,X.010.F.31,tepotzotecua," tepotzotli, tentli,"
93,1,X.010.F.33,huihuaxtzin," huaxin, huictli,"
94,1,X.010.F.35,zacatitechcochi," zacatl, icopi,"
95,1,X.010.F.37,chicuace ? tochtli xihuitl," ce, tochtli, xiuhtic,"
96,1,X.010.F.39,nahui ? calli xihuitl," ce, calli, xiuhtic,"
97,1,X.010.F.41,ei ? tecpatl xihuitl," ce, tecpatl, xiuhtic,"
98,1,X.010.F.42,," flore_04,"
99,1,X.010.F.43,ome ? acatl xihuitl," ce, acatl, mitl, xiuhtic,"
100,1,X.010.G.01,," huitztli, tepetl, itztli,"
101,1,X.010.G.02-,? tecpatl," ce, tecpatl,"
102,1,X.010.G.04,tletepec ou tlachinolticpac," tletl, tepetl,"
103,1,X.010.G.05,xilotepec," xilotl, tepetl,"
104,1,X.010.G.06,tepanohuayan ou cuauhacalco," acalli, atl,"
105,1,X.010.G.07,iztaccuauhtli," iztac, cuauhtli,"
106,1,X.010.G.09,," terre_02,"
107,1,X.010.G.11,xaltocan," xalli, tocatl,"
108,1,X.010.G.12,tecpa," tecpatl,"
109,1,X.010.G.14,mitliztac," mitl, iztac,"
110,1,X.010.G.16,cozcacuauh," cozcatl, cuauhtli,"
111,1,X.010.G.17,xiyotzontecua," tentli, centzontli, artefact_01,"
112,1,X.010.G.19,xiyotecua," tentli, artefact_01,"
113,1,X.010.G.21,? tochtli xihuitl," ce, tochtli, xiuhtic,"
114,1,X.010.G.22,ce calli xihuitl," ce, calli, xiuhtic,"
115,1,X.010.G.23,? xihuitl," ce, xiuhtic,"
116,1,X.010.H.02,tomiyauh," tototl, miyahuatl,"
117,1,X.010.H.04-,oztopolco altepetl," oztotl, tepetl, atl, tetl, atl,"
118,1,X.010.H.05,xolotl," xolotl,"
119,1,X.010.H.07,toltecatlalli," tolin, tentli, tlalli,"
120,1,X.010.H.08,tochmilli," tochtli, tlalli,"
121,1,X.010.H.09,mazamilli," mazatl, tlalli, cuacuahuitl,"
122,1,X.010.H.11,macuilli tecpatl xihuitl," ce, tecpatl, xiuhtic,"
123,1,X.010.H.12,cuauhatlapal," atlapalli,"
124,1,X.010.H.14,acatomatl," acatl, tonalli, atl,"
125,1,X.010.H.16,nopaltzin," nopalli,"
126,1,X.010.H.18,xocotitlan altepetl," effacé, tepetl, atl,"
127,1,X.010.I.01,nahui xihuitl," ce, xiuhtic,"
128,1,X.010.I.02,tolteca(tl)," tolin, tentli,"
129,1,X.010.I.03,mitl," mitl,"
130,1,X.010.I.05,pixahua," huitztli, itztli, atl, tliltic,"
131,1,X.010.I.09,cohuaxochitzin," cohuatl,"
132,1,X.010.I.10,acxopal," atl, ?_05,"
133,1,X.010.I.11,tlatzalan altepetl," tepetl, atl, tlatzalan,"
134,1,X.010.I.12,...tla...," tlantli,"
135,1,X.010.I.13,ce tecpatl xihuitl," ce, tecpatl, xiuhtic,"
136,1,X.010.I.14,huixachtitlan altepetl," fruit_01, tepetl, atl,"
137,1,X.010.I.15,itzocan altepetl," itztli, tepetl, atl,"
138,1,X.010.I.16,ihuixochitzin," ihuitl, xochitl,"
139,1,X.010.I.18,acxocuauh," cuauhtli, xocpalli, atl,"
140,1,X.010.I.20,cuauhtlix," cuauhtli, ixtelolotli,"
141,1,X.010.I.21,toltzalan," tolin,"
142,1,X.010.I.23,ce xihuitl," ce, xiuhtic,"
143,1,X.010.I.24,acatzalan," acatl,"
144,1,X.010.I.26,tziuh...," ornement_04,"
145,1,X.010.I.27,nauhyotl," ce,"
146,1,X.010.I.30,oceloxochi," ocelotl, xochitl,"
147,1,X.010.I.31,colhuacan," coltic, tepetl,"
148,1,X.010.I.32,," atl,"
149,1,X.010.I.33,tolteca(tl)," tolin, tentli,"
150,1,X.010.I.34-,," etl,"
151,1,X.010.I.35,," tlantli, tletl, popoca,"
152,1,X.010.I.38,matlalatzin," matlalli, atl,"
153,1,X.010.I.39,chapoltepec altepetl," chapolin, tepetl, atl,"
154,1,X.010.I.40,ce tecpatl xihuitl," ce, tecpatl, xiuhtic,"
155,1,X.010.I.41,macuilli xihuitl," macuilli, xiuhtic,"
156,1,X.010.I.42,chicnauhtecatl altepetl," macuilli, ce, tepetl, atl, tliltic,"
157,1,X.010.Z.01,tepetla," tepetl, tepetla, atl,"
158,1,X.010.Z.02,teoatl," atl, atl, huei,"
159,1,X.011.A.02,," effacé, tepetl,"
160,1,X.011.A.03-,," effacé,"
161,1,X.011.A.07,," tletl, ?_06,"
162,1,X.011.A.09-,? ixpan," pantli, ixtelolotli, tepetl, comitl, tlantli,"
163,1,X.011.A.10,cuauhtolocan," cuauhtli,"
164,1,X.011.A.15,xolotl," xolotl,"
165,1,X.011.A.17,nahui xihuitl," ce, xiuhtic,"
166,1,X.011.A.19-,tepexocmaco ...," macpalli, comitl, tepetl, tentli,"
167,1,X.011.A.23,tolteca(tl)," tolin, tentli,"
168,1,X.011.A.24,nopaltzin," nopalli,"
169,1,X.011.B.01,tepe...," tepetl, effacé,"
170,1,X.011.B.02,nopaltzin," nopalli,"
171,1,X.011.B.05,," xahualli,"
172,1,X.011.B.06,xolotl," xolotl,"
173,1,X.011.B.08,ixococo ou ixconococ," arbre_02, comitl, ixtelolotli,"
174,1,X.011.B.10,zacatitechcochi," icopi, zacatl,"
175,1,X.011.B.11,yacazayollan," yacatl, zayolin,"
176,1,X.011.B.12,citli," tochtli,"
177,1,X.011.B.13,xolotl," xolotl,"
178,1,X.011.B.15,nahui xihuitl," ce, xiuhtic,"
179,1,X.011.B.18,tolteca(tl)," tolin, tentli,"
180,1,X.011.B.20,nopaltzin," nopalli,"
181,1,X.011.B.22,totollan," totolin,"
182,1,X.011.C.01,nopaltzin," nopalli,"
183,1,X.011.C.03,citli," tochtli,"
184,1,X.011.C.05,," tentli, ?_04,"
185,1,X.011.C.06,xiuh...," teoxihuitl, tepetl,"
186,1,X.011.C.09,tolteca(tl)," tolin, tentli,"
187,1,X.011.C.10,nopaltzin," nopalli,"
188,1,X.011.D.01,...tlaca...," tlacatl, effacé,"
189,1,X.011.D.02,," atl, tetl, récipient_04,"
190,1,X.011.D.03,," chian, molcaxitl,"
191,1,X.011.D.04,," comitl, tlalli,"
192,1,X.011.D.06-,cuauh...," cuauhtli, effacé,"
193,1,X.011.D.10,mazatzin," mazatl, cuacuahuitl,"
194,1,X.011.D.13-,," tlantli, effacé,"
195,1,X.011.D.15,," tlantli, effacé,"
196,1,X.011.D.17,cuauhtlatocan," cuauhtli, tlatoa,"
197,1,X.011.D.18,xolotl," xolotl,"
198,1,X.011.D.21,tepotzotzin," tepotzotli,"
199,1,X.012.A.01-,tepetla," tepetl,"
200,1,X.012.A.03,," tepetl,"
201,1,X.012.A.04,tepetla," tepetl,"
202,1,X.012.A.05,xolotl," xolotl,"
203,1,X.012.A.07-,tepetla te...," tepetl, tetl,"
204,1,X.012.A.08-,tepetla," tepetl,"
205,1,X.012.A.09,tepetla," tepetl,"
206,1,X.012.A.10,texcoco," tepetl, texcalli, tetl,"
207,1,X.012.A.11,tepe...," tepetl,"
208,1,X.012.A.13,azcaxochitzin," tamazolin, azcaxochitl,"
209,1,X.012.A.15,xilocihuatzin," xilotl,"
210,1,X.012.A.17,," tentli, ?_10,"
211,1,X.012.A.19,cohuatepec," cohuatl, tepetl,"
212,1,X.012.A.21,tlaltepantzin," tentli, tlalli,"
213,1,X.012.A.23,tzontecoma," centzontli, tecomatl,"
214,1,X.012.A.26,tecihuatzin," tetl,"
215,1,X.012.A.27,," tentli, pantli,"
216,1,X.012.A.28,malinalxochitzin," malinalli, xochitl,"
217,1,X.012.A.31,itzmitl tlacoxinqui," itztli, mitl, tlantli,"
218,1,X.012.A.32,acatomatl," acatl, tonalli, atl,"
219,1,X.012.A.36,," effacé,"
220,1,X.012.A.37,tepe...," tepetl,"
221,1,X.012.A.38,huetzin," huehuetl,"
222,1,X.012.A.40,nopaltzin," nopalli,"
223,1,X.012.A.42,," terre_03,"
224,1,X.012.A.43,ei tecpatl xihuitl," ce, tecpatl, xiuhtic,"
225,1,X.012.A.45,chichimecacihuatzin," chian,"
226,1,X.012.B.02,," quimilli,"
227,1,X.012.B.05,quetzalcuetzin," cueitl, effacé,"
228,1,X.012.B.07,chalchiuhtlanextzin," chalchihuitl, effacé,"
229,1,X.012.B.09,cholollan," chocholli,"
230,1,X.012.B.10,," plume_02, quetzalli,"
231,1,X.012.B.13,quetzalcuetzin," quetzalli, cueitl,"
232,1,X.012.B.18,quechollan," quecholli, tepetl,"
233,1,X.012.B.19-,matlacxochitl," macuilli, xochitl,"
234,1,X.012.B.22,," quechquemitl,"
235,1,X.012.B.24,chicome ?," macuilli, ce,"
236,1,X.012.B.25,pochotl," pochotl,"
237,1,X.012.B.29,cohuatzin," cohuatl,"
238,1,X.012.B.29-,chalchiuhtlanextzin," chalchihuitl, tlanextli,"
239,1,X.012.B.31,," effacé, effacé,"
240,1,X.012.B.34,cuauhatlapal," atlapalli,"
241,1,X.012.B.35,xolotl," xolotl,"
242,1,X.012.B.38,tocpacxochitzin," xochitl, pachtli, cuaitl,"
243,1,X.012.B.39,...nahuacatzin," ilhuicatl, zo, tlatoa,"
244,1,X.012.B.41,tepetla," tepetl,"
245,1,X.012.B.42,," atl, cilli,"
246,1,X.012.B.43,tepetla," tepetl,"
247,1,X.012.B.44,me...," metl, effacé,"
248,1,X.012.B.45,chalchiuhcihuatzin," chalchihuitl,"
249,1,X.012.B.47,," effacé,"
250,1,X.012.B.49,tepetla te...," tepetl, tetl,"
251,1,X.012.B.50,nopaltzin," nopalli,"
252,1,X.012.B.52,ozto...," oztotl,"
253,1,X.012.B.53,tlotzin," cuauhtli, plume_01,"
254,1,X.012.B.56,tocpacxochitzin," xochitl, pachtli, cuaitl,"
255,1,X.012.B.57,tepe...," tepetl,"
256,1,X.012.B.58,chalchiuhtotomotzin," chalchihuitl, totomochtli,"
257,1,X.012.B.60,azcaxochitzin," tamazolin, azcaxochitl,"
258,1,X.012.B.62,quinatzin tlaltecatzin," itzcuintli, tlatoa, tlalli,"
259,1,X.012.B.64,cuetlachihuitzin," cuetlachtli, ihuitl,"
260,1,X.012.B.64-,nopaltzin," nopalli,"
261,1,X.012.B.66,malinalxochitzin," malinalli, xochitl,"
262,1,X.012.B.68-,tlatzalan," tepetl, tlatzalan,"
263,1,X.012.C.02,mitliztac," iztac, mitl,"
264,1,X.012.C.06,ozto...," oztotl,"
265,1,X.012.C.08,ozto...," oztotl,"
266,1,X.012.C.09,tecpa," tecpatl,"
