codex_id,codex_titre,glyph_id,glyph_cote,glyph_lecture,element_id,element_name,element_theme
1,XOLOTL,1,X.010.A.01,tenamitec,1,tetl,04.04.01
1,XOLOTL,1,X.010.A.01,tenamitec,2,xocpalmachiyotl,01.04.03
1,XOLOTL,2,X.010.A.03,cuauhchinanco,3,petlatl,05.02.03
1,XOLOTL,2,X.010.A.03,cuauhchinanco,4,cuahuitl_1,03.01.01
1,XOLOTL,2,X.010.A.03,cuauhchinanco,5,comitl,05.03.01
1,XOLOTL,3,X.010.A.04,tototepec altepetl,6,tototl,02.01.13
1,XOLOTL,3,X.010.A.04,tototepec altepetl,7,tepetl,04.03.08
1,XOLOTL,3,X.010.A.04,tototepec altepetl,8,atl,04.05.01
1,XOLOTL,4,X.010.B.01,zacatlan,9,zacatl,03.02.08
1,XOLOTL,4,X.010.B.01,zacatlan,10,tlanelhuatl,03.04.10
1,XOLOTL,5,X.010.B.02,tolteca(tl),11,tolin,03.02.02
1,XOLOTL,5,X.010.B.02,tolteca(tl),12,tentli,01.02.18
1,XOLOTL,6,X.010.B.03-,tamazolac teopan zaca...,13,zacatl,03.02.08
1,XOLOTL,6,X.010.B.03-,tamazolac teopan zaca...,14,tzacualli,05.01.08
1,XOLOTL,6,X.010.B.03-,tamazolac teopan zaca...,15,tamazolin,02.02.18
1,XOLOTL,6,X.010.B.03-,tamazolac teopan zaca...,16,atl,04.05.01
1,XOLOTL,6,X.010.B.03-,tamazolac teopan zaca...,17,artefact_09,05.01.21
1,XOLOTL,7,X.010.B.04,tlachia,18,ixtelolotli,01.02.15
1,XOLOTL,8,X.010.B.08,...tepec,19,acatl,03.02.05
1,XOLOTL,8,X.010.B.08,...tepec,20,huitztli,03.04.09
1,XOLOTL,8,X.010.B.08,...tepec,21,tepetl,04.03.08
1,XOLOTL,9,X.010.B.09,xolotl,22,xolotl,02.02.13
1,XOLOTL,10,X.010.B.12,nopaltzin,23,nopalli,03.02.09
1,XOLOTL,11,X.010.B.15,cuauhyacac,24,cuahuitl_1,03.01.01
1,XOLOTL,11,X.010.B.15,cuauhyacac,25,tepetl,04.03.08
1,XOLOTL,11,X.010.B.15,cuauhyacac,26,yacatl,01.02.17
1,XOLOTL,12,X.010.B.16,tlachia,27,ixtelolotli,01.02.15
1,XOLOTL,13,X.010.B.17,tonan ou cihuatepec altepetl,28,cihuatl,01.02.11
1,XOLOTL,13,X.010.B.17,tonan ou cihuatepec altepetl,29,tepetl,04.03.08
1,XOLOTL,13,X.010.B.17,tonan ou cihuatepec altepetl,30,atl,04.05.01
1,XOLOTL,14,X.010.B.18,tlachia,31,ixtelolotli,01.02.15
1,XOLOTL,15,X.010.B.19,oztoticpac,32,pantli,05.12.46
1,XOLOTL,15,X.010.B.19,oztoticpac,33,oztotl,04.03.09
1,XOLOTL,16,X.010.B.20,tepetla,34,tepetl,04.03.08
1,XOLOTL,16,X.010.B.20,tepetla,35,montagnes_05,07.01.08
1,XOLOTL,17,X.010.B.21,tlachia,36,ixtelolotli,01.02.15
1,XOLOTL,18,X.010.B.23,tepetlaoztoc,37,tetl,04.04.01
1,XOLOTL,18,X.010.B.23,tepetlaoztoc,38,oztotl,04.03.09
1,XOLOTL,18,X.010.B.23,tepetlaoztoc,39,petlatl,05.02.03
1,XOLOTL,19,X.010.B.25,tlachia,40,ixtelolotli,01.02.15
1,XOLOTL,20,X.010.B.26,tzinacanoztoc,41,tzinacan,02.01.27
1,XOLOTL,20,X.010.B.26,tzinacanoztoc,42,oztotl,04.03.09
1,XOLOTL,21,X.010.B.27,tlachia,43,ixtelolotli,01.02.15
1,XOLOTL,22,X.010.B.28,tecpatepec altepetl,44,tecpatl,04.04.08
1,XOLOTL,22,X.010.B.28,tecpatepec altepetl,45,tepetl,04.03.08
1,XOLOTL,22,X.010.B.28,tecpatepec altepetl,46,atl,04.05.01
1,XOLOTL,23,X.010.B.29-,toltecateopan zaca...,47,zacatl,03.02.08
1,XOLOTL,23,X.010.B.29-,toltecateopan zaca...,48,tzacualli,05.01.08
1,XOLOTL,23,X.010.B.29-,toltecateopan zaca...,49,tolin,03.02.02
1,XOLOTL,23,X.010.B.29-,toltecateopan zaca...,50,tentli,01.02.18
1,XOLOTL,23,X.010.B.29-,toltecateopan zaca...,51,artefact_09,05.01.21
1,XOLOTL,24,X.010.B.31,tlachia,52,ixtelolotli,01.02.15
1,XOLOTL,25,X.010.B.32,oztotepec altepetl,53,oztotl,04.03.09
1,XOLOTL,25,X.010.B.32,oztotepec altepetl,54,tepetl,04.03.08
1,XOLOTL,25,X.010.B.32,oztotepec altepetl,55,atl,04.05.01
1,XOLOTL,26,X.010.C.01,? altepetl,56,tepetl,04.03.08
1,XOLOTL,26,X.010.C.01,? altepetl,57,atl,04.05.01
1,XOLOTL,27,X.010.C.02,xiuhtepec altepetl,58,xihuitl_4,06.01.04
1,XOLOTL,27,X.010.C.02,xiuhtepec altepetl,59,tepetl,04.03.08
1,XOLOTL,27,X.010.C.02,xiuhtepec altepetl,60,atl,04.05.01
1,XOLOTL,28,X.010.C.04,nopaltzin,61,nopalli,03.02.09
